Gewicht,Fragen,Antwort1,Antwort2,Antwort3  Richtige Antwort,Erklärung
1,"Was denkst du, wie und wie häufig wird der Schweizer Präsident gewählt","Alle vier Jahre, vom Volk aus einer Auswahl jeder Partei gewählt",Jedes Jahr vom Parlament bestehend aus allen Vertretern aller Parteien gewählt,"Jedes Jahr automatisch zwischen den 7 Bundesräten, den Vertretern von 5 Parteien rotiert",
,"Was denkst du, hat die Schweiz ein offizielles Staatsoberhaupt","Ja, der aktuelle Bundespräsident",Der Schweizer Bundeskanzler gilt als Staatsoberhaupt,"Nein, der aktuelle Bundespräsident ist nur repräsentativ und leitet Ratssitzungen",https://de.wikipedia.org/wiki/Bundesrat_(Schweiz)#Bundespr%C3%A4sident_und_Vizepr%C3%A4sident
,"Was denkst du, wie sieht es in der Schweiz mit der Hauptstadt aus?",Zürich ist Hauptstadt,Bern ist Hauptstadt,Die Schweiz hat offiziell keine Hauptstadt,https://de.wikipedia.org/wiki/Hauptstadtfrage_der_Schweiz
,"Was denkst du, in welchen Sprachen kann man die Formulare der Bundesbehörden beziehen.","Deutsch, Französich, Englisch","Deutsch, Französich, Italienisch","Deutsch, Französisch, Italienisch, Rätoromanisch",https://de.wikipedia.org/wiki/Sprachen_in_der_Schweiz
,"Was denkst du, wie kann man einen Bundesrat loswerden?",Per Parlamentsbeschluss mit 50% plus 1 Stimme,Bundesrat bleibt man solange man das Amt ausüben kann.,"Alle vier Jahren, wenn er seine Erneuerungswahl verliert.",
,"Was denkst du, was kann ein Schweizer Stimmbürger mit einer Initiative ändern?",Verordnungen,Bundesgesetze,Die Verfassung,
,"Was denkst du, in welcher Sprache wird im National- oder Ständerat diskutiert","Deutsch, da sie die meist gesprochene Sprache der Schweiz ist","Englisch, als Kompromiss zur allgemeinen Verständigung","Deutsch, Französisch, Italienisch. Der Nationalrat wird simultan übersetzt.",https://de.wikipedia.org/wiki/Nationalrat_(Schweiz)#Arbeitssprachen
,"Was denkst du, wie häufig können Schweizer Abstimmen gehen","Ein mal im Jahr bis zu vier Abstimmungen, je eine von Gemeinde, Wahlkreis, Kanton und Schweiz)",Vier mal im Jahr zu einer Gesetzesvorlage welche die Schweizer Verfassung betrifft.,"Vier mal im Jahr zu allen Abstimmungen die gerade bei Gemeinden, Kanton und Schweiz anstehen.",
,"Was denkst du, was macht die Schweizer Fahne speziell",Die Gestaltung wurde im Mittelalter von einer Militärischen Nothilfsorganisation kopiert und Farblich umgedreht.,"Schweden musste wegen der Schweiz einst ihre Fahne ändern, damit sie nicht verwechselt werden können.",Sie ist neben dem Vatikan die einzige Landesfahne die Offiziell Rechteckig ist.,
,"Was denkst du, wie arbeiten die Parteien der Schweiz zusammen","Üblicherweise bilden die Parteien Koalitionsverträge mit mehreren Parteien, der Inhalt ist meist sehr Allgemein gehalten.",Es gibt nur einen Koalitionsvertrag dem alle Parteien angehören müssen die in den Bundesrat gewählt werden wollen.,Es gibt keine Koalitionsverträge. Parteien arbeiten meist Themenspezifisch zusammen.,https://de.wikipedia.org/wiki/Konkordanzdemokratie#Konkordanzdemokratie_in_der_Schweiz
,"Was Denkst du, was passiert wenn ein Regierungsmittglied intern eine Abstimmung über ein Sachthema verliert.",Es darf sich nicht mit seiner Meinung gegenüber den Medien äussern ,Der Verlierer und die Gewinner publizieren ihre Argumente und das resultierende Abstimmungsergebnis.,Auch unterlegene haben sich in den Medien mit den Argumenten der Gewinner zu äussern.,https://de.wikipedia.org/wiki/Kollegialit%C3%A4tsprinzip#Schweiz
